algorithm,function,ert_m8,ert_m5,ert_m3,log10ert_area,error_avg,errorbounded_avg
CMA-ES-Akimoto,f1d10,146.06666666666666,101.53333333333333,71.6,0.04867123088741882,7.340000000000001e-09,0.0
CMA-ES-Akimoto,f2d10,425.93999999999994,379.15999999999997,348.44,0.06103922209259677,6.999999999999999e-09,0.0
CMA-ES-Akimoto,f3d10,960379.2833333334,960086.6166666666,959893.8666666666,0.11187565049322444,0.5726666695733333,0.5726666666666667
CMA-ES-Akimoto,f4d10,,,,0.5010654574784373,4.98,4.98
CMA-ES-Akimoto,f5d10,12.993333333333334,,,0.025780812134462525,0.0,0.0
CMA-ES-Akimoto,f6d10,424.9866666666667,299.2266666666667,217.7,0.08382652878750944,8.193333333333334e-09,0.0
CMA-ES-Akimoto,f7d10,396.7,,,0.0800535013534097,5.532666666666667e-09,0.0
CMA-ES-Akimoto,f8d10,638.8466666666666,587.38,552.9399999999999,0.06229264398561406,7.573333333333334e-09,0.0
CMA-ES-Akimoto,f9d10,543.3133333333333,497.79333333333335,462.2466666666666,0.021181553471778983,6.6600000000000006e-09,0.0
CMA-ES-Akimoto,f10d10,421.84666666666664,377.4266666666667,347.14666666666665,0.06336324752301153,7.753333333333333e-09,0.0
CMA-ES-Akimoto,f11d10,324.03333333333336,276.3466666666667,244.44,0.08362964312715526,8.059999999999999e-09,0.0
CMA-ES-Akimoto,f12d10,1094.74,918.2266666666667,732.98,0.08457506695623644,9.24e-09,0.0
CMA-ES-Akimoto,f13d10,815.1266666666667,524.4466666666666,376.5866666666667,0.06346793257340397,8.733333333333335e-09,0.0
CMA-ES-Akimoto,f14d10,407.74666666666667,225.2733333333333,124.62,0.07767562987671772,9.300000000000002e-09,0.0
CMA-ES-Akimoto,f15d10,7978.62,7625.093333333333,7384.853333333334,0.06158756696158268,7.62e-09,0.0
CMA-ES-Akimoto,f16d10,3561.6,3370.54,3135.82,0.058143561850846036,6.246666666666665e-09,0.0
CMA-ES-Akimoto,f17d10,2947.98,1964.9066666666665,1150.0466666666666,0.10356708266038207,7.913333333333334e-09,0.0
CMA-ES-Akimoto,f18d10,3502.413333333333,2786.233333333333,2340.2133333333336,0.08592348680660607,8.833333333333331e-09,0.0
CMA-ES-Akimoto,f19d10,73253.43333333333,71757.71333333333,70687.34,0.0183733165546335,7.0266666666666656e-09,0.0
CMA-ES-Akimoto,f20d10,20768.286666666667,20159.973333333335,19740.46,0.1201505285346283,6.480000000000001e-09,0.0
CMA-ES-Akimoto,f21d10,19653.36,19433.646666666667,19293.126666666667,0.048531187707731564,6.686666666666667e-09,0.0
CMA-ES-Akimoto,f22d10,954689.7333333334,954320.0833333334,954091.9333333333,0.07088754482345318,0.41400000231333334,0.4139999999999999
